country,cluster
Albania,5
Argentina,3
Australia,11
Austria,1
Bangladesh,8
Belgium,4
Bhutan,13
Bolivia,3
Botswana,2
Brazil,7
Bulgaria,1
Cambodia,0
Canada,10
Chile,3
Colombia,7
Croatia,1
Denmark,4
DominicanRepublic,14
Ecuador,7
Estonia,4
Eswatini,2
Finland,4
France,4
Germany,4
Ghana,6
Greece,5
Guatemala,7
Hungary,1
Iceland,4
India,8
Indonesia,0
Ireland,4
Israel,5
Italy,5
Japan,13
Jordan,5
Kazakhstan,9
Kenya,12
Kyrgyzstan,1
Laos,0
Latvia,4
Lebanon,5
Lesotho,2
Lithuania,4
Luxembourg,4
Madagascar,2
Malaysia,0
Malta,5
Mexico,7
Mongolia,9
Montenegro,5
Netherlands,4
NewZealand,11
Nigeria,6
NorthMacedonia,1
Norway,4
Oman,8
Panama,14
Peru,7
Philippines,0
Poland,4
Portugal,5
Qatar,8
Romania,1
Russia,4
Rwanda,12
Senegal,6
Serbia,1
Singapore,0
Slovakia,1
Slovenia,1
SouthAfrica,2
SouthKorea,13
Spain,5
Sweden,4
Switzerland,4
Thailand,0
Tunisia,5
Turkey,1
USA,10
Uganda,12
Ukraine,1
UnitedArabEmirates,8
UnitedKingdom,4
Uruguay,3
