,precision,recall,f1-score,support
Albania,0.5789473684210527,0.7333333333333333,0.6470588235294118,60.0
Argentina,0.5714285714285714,0.2711864406779661,0.367816091954023,59.0
Australia,0.44,0.55,0.4888888888888889,60.0
Austria,0.27450980392156865,0.23333333333333334,0.25225225225225223,60.0
Bangladesh,0.45045045045045046,0.847457627118644,0.5882352941176471,59.0
Belgium,0.28378378378378377,0.35,0.31343283582089554,60.0
Bhutan,0.7419354838709677,0.7666666666666667,0.7540983606557377,60.0
Bolivia,0.5454545454545454,0.7,0.6131386861313869,60.0
Botswana,0.6164383561643836,0.75,0.6766917293233082,60.0
Brazil,0.25333333333333335,0.31666666666666665,0.2814814814814815,60.0
Bulgaria,0.5135135135135135,0.31666666666666665,0.3917525773195876,60.0
Cambodia,0.625,0.5,0.5555555555555556,60.0
Canada,0.32558139534883723,0.23333333333333334,0.27184466019417475,60.0
Chile,0.7,0.35,0.4666666666666667,60.0
Colombia,0.55,0.18333333333333332,0.275,60.0
Croatia,0.27906976744186046,0.2,0.23300970873786409,60.0
Denmark,0.5384615384615384,0.23333333333333334,0.32558139534883723,60.0
DominicanRepublic,0.5684210526315789,0.9,0.6967741935483871,60.0
Ecuador,0.5272727272727272,0.48333333333333334,0.5043478260869565,60.0
Estonia,0.21359223300970873,0.36666666666666664,0.26993865030674846,60.0
Eswatini,0.5862068965517241,0.85,0.6938775510204082,60.0
Finland,0.40425531914893614,0.6333333333333333,0.4935064935064935,60.0
France,0.20454545454545456,0.15,0.17307692307692307,60.0
Germany,0.32142857142857145,0.15,0.20454545454545456,60.0
Ghana,0.7536231884057971,0.8666666666666667,0.8062015503875969,60.0
Greece,0.4,0.26666666666666666,0.32,60.0
Guatemala,0.6956521739130435,0.5333333333333333,0.6037735849056604,60.0
Hungary,0.2962962962962963,0.26666666666666666,0.2807017543859649,60.0
Iceland,0.8541666666666666,0.6833333333333333,0.7592592592592593,60.0
India,0.7966101694915254,0.7833333333333333,0.7899159663865546,60.0
Indonesia,0.2356687898089172,0.6166666666666667,0.34101382488479265,60.0
Ireland,0.8648648648648649,0.5333333333333333,0.6597938144329897,60.0
Israel,0.7450980392156863,0.6333333333333333,0.6846846846846847,60.0
Italy,0.25925925925925924,0.23333333333333334,0.24561403508771928,60.0
Japan,0.8148148148148148,0.7333333333333333,0.7719298245614035,60.0
Jordan,0.9459459459459459,0.5833333333333334,0.7216494845360825,60.0
Kazakhstan,0.9230769230769231,0.6,0.7272727272727273,60.0
Kenya,0.8095238095238095,0.5666666666666667,0.6666666666666666,60.0
Kyrgyzstan,0.8360655737704918,0.85,0.8429752066115702,60.0
Laos,0.6571428571428571,0.7666666666666667,0.7076923076923077,60.0
Latvia,0.4166666666666667,0.4166666666666667,0.4166666666666667,60.0
Lebanon,0.9491525423728814,0.9333333333333333,0.9411764705882353,60.0
Lesotho,0.7884615384615384,0.6833333333333333,0.7321428571428571,60.0
Lithuania,0.4090909090909091,0.6,0.4864864864864865,60.0
Luxembourg,0.5625,0.45,0.5,60.0
Madagascar,0.7894736842105263,0.75,0.7692307692307693,60.0
Malaysia,0.5,0.4666666666666667,0.4827586206896552,60.0
Malta,0.6617647058823529,0.75,0.703125,60.0
Mexico,0.3333333333333333,0.1,0.15384615384615385,60.0
Mongolia,0.8064516129032258,0.8333333333333334,0.819672131147541,60.0
Montenegro,0.5125,0.6833333333333333,0.5857142857142857,60.0
Netherlands,0.6388888888888888,0.38333333333333336,0.4791666666666667,60.0
NewZealand,0.5633802816901409,0.6666666666666666,0.6106870229007634,60.0
Nigeria,0.9411764705882353,0.5333333333333333,0.6808510638297872,60.0
NorthMacedonia,0.48,0.6,0.5333333333333333,60.0
Norway,0.5208333333333334,0.4166666666666667,0.46296296296296297,60.0
Oman,0.8604651162790697,0.6166666666666667,0.7184466019417476,60.0
Panama,0.8163265306122449,0.6666666666666666,0.7339449541284404,60.0
Peru,0.7142857142857143,0.25,0.37037037037037035,60.0
Philippines,0.32978723404255317,0.5166666666666667,0.4025974025974026,60.0
Poland,0.24752475247524752,0.4166666666666667,0.3105590062111801,60.0
Portugal,0.34210526315789475,0.43333333333333335,0.38235294117647056,60.0
Qatar,0.9259259259259259,0.8333333333333334,0.8771929824561403,60.0
Romania,0.24752475247524752,0.4166666666666667,0.3105590062111801,60.0
Russia,0.23076923076923078,0.25,0.24,60.0
Rwanda,0.6666666666666666,0.8,0.7272727272727273,60.0
Senegal,0.8070175438596491,0.7666666666666667,0.7863247863247863,60.0
Serbia,0.4423076923076923,0.38333333333333336,0.4107142857142857,60.0
Singapore,0.6710526315789473,0.85,0.75,60.0
Slovakia,0.13333333333333333,0.03333333333333333,0.05333333333333334,60.0
Slovenia,0.2644628099173554,0.5333333333333333,0.35359116022099446,60.0
SouthAfrica,0.5405405405405406,0.3333333333333333,0.41237113402061853,60.0
SouthKorea,0.5393258426966292,0.8,0.6442953020134228,60.0
Spain,0.3333333333333333,0.23333333333333334,0.27450980392156865,60.0
Sweden,0.38095238095238093,0.13333333333333333,0.19753086419753085,60.0
Switzerland,0.8867924528301887,0.7833333333333333,0.831858407079646,60.0
Thailand,0.32038834951456313,0.55,0.4049079754601227,60.0
Tunisia,0.7142857142857143,0.8333333333333334,0.7692307692307693,60.0
Turkey,0.31746031746031744,0.3333333333333333,0.3252032520325203,60.0
USA,0.3611111111111111,0.21666666666666667,0.2708333333333333,60.0
Uganda,0.8166666666666667,0.8166666666666667,0.8166666666666667,60.0
Ukraine,0.5294117647058824,0.45,0.4864864864864865,60.0
UnitedArabEmirates,0.5543478260869565,0.85,0.6710526315789473,60.0
UnitedKingdom,0.3111111111111111,0.23333333333333334,0.26666666666666666,60.0
Uruguay,0.7407407407407407,0.6666666666666666,0.7017543859649122,60.0
accuracy,0.5276579050608081,0.5276579050608081,0.5276579050608081,0.5276579050608081
macro avg,0.5520133747708817,0.5276703223662347,0.521484288466394,5098.0
weighted avg,0.5520294884875673,0.5276579050608081,0.5215013377388266,5098.0
