,precision,recall,f1-score,support
0,0.5029940119760479,0.755056179775281,0.6037735849056604,445.0
1,0.6792452830188679,0.75,0.7128712871287128,48.0
2,0.5957446808510638,0.509090909090909,0.5490196078431373,55.0
3,0.8059701492537313,0.6136363636363636,0.6967741935483871,88.0
4,0.34705882352941175,0.5514018691588785,0.4259927797833935,107.0
5,0.5054945054945055,0.24731182795698925,0.33212996389891697,186.0
6,0.6014492753623188,0.6974789915966386,0.6459143968871596,119.0
7,0.6797385620915033,0.7298245614035088,0.7038917089678511,285.0
8,0.7345132743362832,0.5763888888888888,0.6459143968871596,144.0
9,0.4244604316546763,0.44029850746268656,0.43223443223443225,134.0
10,0.5826771653543307,0.5401459854014599,0.5606060606060606,137.0
11,0.5625,0.627906976744186,0.5934065934065934,43.0
12,0.7272727272727273,0.3076923076923077,0.43243243243243246,78.0
13,0.20754716981132076,0.22,0.21359223300970873,50.0
14,0.5977653631284916,0.535,0.5646437994722955,400.0
15,0.7883211678832117,0.8181818181818182,0.8029739776951673,132.0
16,0.46153846153846156,0.1978021978021978,0.27692307692307694,91.0
17,0.6,0.48,0.5333333333333333,50.0
18,0.5223880597014925,0.7142857142857143,0.603448275862069,49.0
19,0.6363636363636364,0.12962962962962962,0.2153846153846154,54.0
20,0.4319526627218935,0.31877729257641924,0.36683417085427134,229.0
21,0.5114503816793893,0.7052631578947368,0.5929203539823009,190.0
22,0.5566037735849056,0.5728155339805825,0.5645933014354066,103.0
23,0.5277777777777778,0.20430107526881722,0.29457364341085274,93.0
24,0.5,0.8484848484848485,0.6292134831460674,33.0
25,0.6647727272727273,0.5679611650485437,0.612565445026178,206.0
26,0.8666666666666667,0.6842105263157895,0.7647058823529411,57.0
27,0.3774193548387097,0.37261146496815284,0.375,314.0
28,0.48255813953488375,0.7830188679245284,0.5971223021582733,106.0
29,0.9024390243902439,0.7115384615384616,0.7956989247311828,52.0
accuracy,0.5492888670917117,0.5492888670917117,0.5492888670917117,0.5492888670917117
macro avg,0.5794894419029759,0.5403371707569445,0.5379496085769213,4078.0
weighted avg,0.5609150255294826,0.5492888670917117,0.5387411661015108,4078.0
